areaFIPS,areaname,Category,Subcategory,allchildren3to5,atleast1immigparent,allnativebornparents,lowincome,notlowincome,notenrolled,enrolled
39,Ohio,Number of parents present,Two parents,0.692492723,0.846891284,0.679822683,0.521870494,0.868054986,0.679659367,0.701853693
40,Oklahoma,Number of parents present,One parent,0.293650001,0.185283735,0.309119314,0.395927608,0.153378695,0.283541948,0.300687313
40,Oklahoma,Number of parents present,Two parents,0.706349969,0.81471628,0.690880656,0.604072392,0.846621275,0.716458082,0.699312687
41,Oregon,Number of parents present,One parent,0.242467895,0.146534532,0.266847134,0.340156078,0.13569963,0.251663238,0.234558105
41,Oregon,Number of parents present,Two parents,0.75753212,0.853465497,0.733152866,0.659843922,0.86430037,0.748336732,0.765441895
42,Pennsylvania,Number of parents present,One parent,0.29007107,0.194323227,0.300809234,0.488413215,0.133369848,0.313313931,0.273281217
42,Pennsylvania,Number of parents present,Two parents,0.70992893,0.805676758,0.699190736,0.511586785,0.866630137,0.686686099,0.726718783
44,Rhode Island,Number of parents present,One parent,0.307610422,0.202694431,0.332009554,0.54489547,0.14511086,0.308409274,0.307039618
44,Rhode Island,Number of parents present,Two parents,0.692389607,0.797305584,0.667990446,0.45510456,0.854889154,0.691590726,0.692960382
45,South Carolina,Number of parents present,One parent,0.366476417,0.140095219,0.393610954,0.513018429,0.17322208,0.370540351,0.363509595
45,South Carolina,Number of parents present,Two parents,0.633523583,0.859904766,0.606389046,0.486981571,0.826777935,0.629459679,0.636490405
46,South Dakota,Number of parents present,One parent,0.244349897,0,0.244191974,0.44047299,0.090759955,0.248102784,0.241122365
46,South Dakota,Number of parents present,Two parents,0.755650103,0,0.755808055,0.55952698,0.909240067,0.751897216,0.758877635
47,Tennessee,Number of parents present,One parent,0.325567722,0.142810613,0.349394083,0.454963982,0.156759381,0.340043277,0.313223273
47,Tennessee,Number of parents present,Two parents,0.674432278,0.857189417,0.650605917,0.545036018,0.843240619,0.659956753,0.686776698
48,Texas,Number of parents present,One parent,0.297798216,0.17733793,0.354349673,0.414218724,0.162065521,0.308110297,0.289966524
48,Texas,Number of parents present,Two parents,0.702201784,0.822662055,0.645650327,0.585781276,0.837934494,0.691889703,0.710033476
49,Utah,Number of parents present,One parent,0.158909261,0.165238529,0.155003294,0.232412353,0.093930684,0.180438951,0.141196996
49,Utah,Number of parents present,Two parents,0.841090739,0.8347615,0.844996691,0.767587662,0.906069338,0.819561064,0.858803034
50,Vermont,Number of parents present,One parent,0.214954242,0,0.227609396,0.287552536,0.155196622,0.239644542,0.200897589
50,Vermont,Number of parents present,Two parents,0.785045743,0,0.772390604,0.712447464,0.844803393,0.760355473,0.799102426
51,Virginia,Number of parents present,One parent,0.277797371,0.146203727,0.311888635,0.479026943,0.15175961,0.321994931,0.249209359
51,Virginia,Number of parents present,Two parents,0.722202599,0.853796303,0.688111365,0.520973086,0.848240376,0.67800504,0.750790656
53,Washington,Number of parents present,One parent,0.220753089,0.132875234,0.249510646,0.34664464,0.1197519,0.244129121,0.200425074
53,Washington,Number of parents present,Two parents,0.779246926,0.867124736,0.750489354,0.65335536,0.880248129,0.755870879,0.799574912
54,West Virginia,Number of parents present,One parent,0.31110242,0,0.316612333,0.440018713,0.15210408,0.333953977,0.2894288
54,West Virginia,Number of parents present,Two parents,0.68889755,0,0.683387697,0.559981287,0.84789592,0.666046023,0.71057117
55,Wisconsin,Number of parents present,One parent,0.269914061,0.130896419,0.285963386,0.452368736,0.125263482,0.273393989,0.267597705
55,Wisconsin,Number of parents present,Two parents,0.730085909,0.869103611,0.714036644,0.547631264,0.874736547,0.726606011,0.732402325
56,Wyoming,Number of parents present,One parent,0.2224641,0,0.229788586,0.32704404,0.141260087,0.199847147,0.240107313
56,Wyoming,Number of parents present,Two parents,0.777535915,0,0.770211399,0.67295599,0.858739913,0.800152838,0.759892702
100,United States,Number of parents present,One parent,0.28667742,0.168975383,0.322425157,0.429586381,0.149394333,0.301509589,0.27685675
100,United States,Number of parents present,Two parents,0.71332258,0.831024587,0.677574873,0.570413649,0.850605667,0.698490381,0.72314322
